name,type,price
'Sports Jacket,Jacket,41.99
Adalyn Shirt,Long Sleeves,29.99
Addilynn Long Sleeves,Long Sleeves,29.99
Adria Long Sleeves,Long Sleeves,39.99
Aelia top,Long Sleeves,19.99
